abv,beer_desc,beer_img,beer_name,beer_rank,beer_style,brewer,est_cal,ibu,mean,overall_score,review_count,state,style_score,wgt_avg
,"This wise old beer shows off lots of herbal funk. Brewed with rosemary, sage and thyme then aged in old Brainless on Peaches casks with Brettanomyces yeast. Flavors of tropical citrus mix with chardonnay notes and a funky, slightly tart finish.",,Epic Old Sage Brett,12,Spice/Herb/Vegetable,Epic Brewing Company (UT/CO),,228,3.83/5.0,97,33,UTAH,100,3.74
11.1%,Launch into the exquisite flavors of bourbon with splashes of vanilla. Watch for currents of dark chocolate and dried fruit. Generous amounts of hops and malts make for a smooth journey from start to finish. Decadent desserts and aged cheeses make superb companions.,,Uinta Crooked Line Cockeyed Cooper ,11,Barley Wine,Uinta Brewing Company,333,,/,97,511,UTAH,92,
,"Son of a Baptist is an 8% ABV imperial stout. It is not barrel aged like its father, Big Bad Baptist; instead its flavor profile was designed to highlight the complex and often unique flavors of small batch coffees. Instead of sourcing a coffee that would play well in a beer we sought out creative and innovative roasters, then asked them which beans they’re passionate about. Each resulting release of Son of a Baptist is widely different depending on the coffee selected. Some are fruity and sweet with notes of jam and chocolate, others are rich and earthy with a big roasted finish. Each limited release will return to the Roaster’s home market where the beer and the coffee can be sampled side by side.",,Epic Son of a Baptist,10,Imperial Stout,Epic Brewing Company (UT/CO),,240,/,98,99,UTAH,76,
7.15%,An Oud Bruin style Sour. A mix of a two month old and 18 month oak aged batches. Inspired by Rodenbach. Available in 750 ml bottles.,,Squatters 529,9,Sour Red/Brown,Squatters Craft Beers,215,,/,98,186,UTAH,91,
9.2%,Ale brewed with Hemp seed.,,Uinta Dubhe Imperial Black IPA,8,Black IPA,Uinta Brewing Company,276,,/,98,816,UTAH,98,
,"Complex and drinkable, Sea Legs delivers flavors of roasted malt and chocolate. Sea Legs was aged in Bourbon Barrels for nearly 12 months adding toasted vanilla and bourbon notes to the flavor profile. This Medium-bodied Baltic Porter has a complex malt profile and mild hop bitterness. With a hidden ABV of 8%, Sea Legs is a siren of a beer.",,Uinta Crooked Line Sea Legs Baltic Porter,7,Baltic Porter,Uinta Brewing Company,,240,/,98,303,UTAH,95,
,"Welcome to the biggest beer Squatters Pub Brewery has ever made! A Russian Imperial Stout is one of the most intensely flavored beers a brewer can create. The combination of rich roasted barley, oak, molasses and licorice root combine to create an utterly unique and complex imperial stout experience.
We had to mash in twice to get our starting gravity of 27 plato (1.108 specific gravity). We boiled 3.5 hrs to enhance caramelization and used molasses and licorice root at the end of boil. Outer Darkness is aged with oak, has 65 ibu’s and bottle conditioned. We hope you have as much fun drinking it as we did making it. Please share with another and drink wisely.",,Squatters Outer Darkness,6,Imperial Stout,Squatters Craft Beers,65,,/,99,411,UTAH,92,
,"Enter the Labyrinth, a multi-dimensional black ale. Discover the complex intermingling of black licorice and toasted oak. Seek the subtle hints of bittersweet chocolate. Flavors are enhanced when served cool, not frigid. Explore pairing Labyrinth with flavorful cheeses and rich desserts.",,Uinta Crooked Line Labyrinth Black Ale,5,Imperial Porter,Uinta Brewing Company,,396,/,100,549,UTAH,98,
6.75%,Fifth Element was brewed December 2007 and laid down to age in oak barrels January 2008. It has light peach/fruit notes and a beautiful golden hue. High carbonation created during bottle conditioning gives it a champagne like texture on the pallet. It finishes slightly tart and cleansing.,,Squatters Fifth Element,4,Sour/Wild Ale,Squatters Craft Beers,202,,/,100,245,UTAH,99,
12.7%,"It’s Big, it’s Bad, Bourbon Barrel Aged Imperial Stout, with Coffee and Cocoa Nibs.",,Epic Big Bad Baptist ,3,Imperial Stout,Epic Brewing Company (UT/CO),381,,/,100,728,UTAH,97,
12.8%,"The idea behind Double Barrel Big Bad Baptist was born when our friends at HotBox Roasters, based out of Longmont, CO told us they’ve been aging green coffee beans in retired spirits barrels. Our eyes widened at the possibilities, it was like a new frontier of flavor had been opened up. 

Green coffee beans are like sponges, they soak up the aromas and flavors of their environment. If you put them in a used whiskey barrel, you’ll get notes of toffee, vanilla, oak, and campfire alongside the beans natural fruity and roasted flavors. The barrel aged coffees coming from HotBox are some of the most exciting and truly unique coffees we’ve tasted. We selected their single origin Ethopian Yirgacheffe for its bright blueberry and pomegranate flavors. It’s a major departure from the classic Columbian and Central American flavor profile we normally select for Big Bad Baptist but with the additional flavor contribution from the whiskey barrel and Hot Box’s carful roasting, the coffee comes to the forefront of the beer and really showcases the unique process.

To accommodate the bold flavors of the coffee we sourced equally creative and maliciously crafted cacao nibs from Solstice Chocolate. Solstice Chocolate is a small artisan chocolate maker based out of Salt Lake City. They specialize in sourcing exotic, organically grown cacao from around the world. Each single origin cacao is roasted in house to bring out its inherent characteristics.

Double Barrel Big Bad Baptist is the cream of the crop with only the choicest barrels selected for the blend, barrel-aged single-origin coffee, artisanal micro-batch cacao nibs, and our ceaseless passion for style.",,Epic Double Barrel Big Bad Baptist,2,Imperial Stout,Epic Brewing Company (UT/CO),384,,/,100,93,UTAH,97,
11.7%,"Big Bad Baptista is inspired by traditional Mexican coffee, Café de Olla, which is served with cinnamon and piloncillo, an unrefined sugar. The Cinnamon adds another layer of complexity and accentuates the earthy character of Mexican Coffee, but more importantly, it captures the essence of a place and its culture. As beverage geeks we wanted to pay homage to that rich tradition and offer our unique take.",,Epic Big Bad Baptista,1,Imperial Stout,Epic Brewing Company (UT/CO),351,,/,100,127,UTAH,99,
12%,"This version of Jester King and Mikkeller’s collaborative imperial oatmeal stout, made with chipotle peppers and smoked malt, was aged for six months in Tennessee whiskey barrels, prior to the addition of a special blend of Vietnamese coffees, including a large portion of authentic Kopi Luwak coffee (a.k.a. “weasel coffee”).",,Jester King / Mikkeller Whiskey Barrel Rodeo,24,Imperial Stout,Jester King Brewery,360,,/,99,105,TEXAS,84,
,Imperial Brown Ale aged in rum and whiskey barrels.,,Brash Biggie Smalls Imperial Brown Ale ,23,American Strong Ale,Brash Brewing Company,,330,3.93/5.0,99,29,TEXAS,97,3.82
,,,Saint Arnold Divine Reserve #17,22,Baltic Porter,Saint Arnold Brewing Company,47,,3.99/5.0,99,24,TEXAS,97,3.85
,,,Community Legion (Macallan Barrel Aged),21,Imperial Stout,Community Beer Company,,348,4.05/5.0,99,16,TEXAS,85,3.84
6.9%,"We’re excited to introduce 2016 Jester King Bière de Lenoir — our barrel aged sour beer refermented with Texas-grown Lenoir grapes! This is the first time we’ve ever worked with Lenoir grapes.

Bière de Lenoir is a blend of barrel aged beer brewed with Hill Country well water, malted and raw grains from our friends at Blacklands Malt, fresh and aged hops, and fermented with our mixed culture of brewers yeast and native yeast and bacteria. It matured in oak barrels for eight to fourteen months before blending and refermention with Lenoir grapes (also known as Black Spanish) from Torre di Pietra Vineyards in Fredericksburg, Texas. It was packaged in bottles and kegs on October 24th, 2016 and is 100% naturally refermented, unfiltered, and unpasteurized. At the time of bottling, Bière de Lenoir was 6.9% alcohol by volume, 1.002 specific gravity (0.5 degrees Plato), 11 IBU, and 3.4 pH.",,Jester King Bi�re de Lenoir,20,Sour/Wild Ale,Jester King Brewery,207,11,/,99,42,TEXAS,96,
10.1%,"This variation on an imperial oatmeal stout, brewed in collaboration with Mikkeller, contains a healthy dose of authentic Kopi Luwak coffee (a.k.a. “weasel coffee”), along with other Vietnamese coffees, ground chipotle pepper. and a touch of smoked malt.",,Jester King / Mikkeller Weasel Rodeo,19,Imperial Stout,Jester King Brewery,303,,/,99,190,TEXAS,86,
14%,"Toasted oat malt, vanilla bean, brown sugar, and 14%abv.",,Brash Vulgar Display of Power,18,Imperial Stout,Brash Brewing Company,420,,4.11/5.0,99,14,TEXAS,87,3.86
5.4%,"Aurelian Lure was made by taking mature, barrel-aged sour beer and refermenting it to dryness in oak barrels with apricots from northern California. Dozens of microorganisms, including wild yeasts native to the Texas Hill Country, transformed the apricots through refermentation to create a beer unique to our land.",,Jester King Aurelian Lure,17,Sour/Wild Ale,Jester King Brewery,162,,/,99,94,TEXAS,96,
,Imperial breakfast stout with coffee,,Brash Cortado,16,Imperial Stout,Brash Brewing Company,,300,4.04/5.0,99,19,TEXAS,87,3.86
,Style: Bourbon Barrel Imperial Stout,,Saint Arnold Bishop's Barrel #8,15,Imperial Stout,Saint Arnold Brewing Company,29,,4.03/5.0,99,22,TEXAS,88,3.87
7.3%,"We are pleased to introduce Jester King Bière de Syrah — a barrel-aged sour beer refermented with Syrah grapes. Bière de Syrah consists of a blend of beer fermented in oak barrels for nine to twelve months with our mixed culture of brewers yeast and native yeast and bacteria harvested from the air and wildflowers around our brewery. The blend was then refermented with Syrah grapes for about two weeks, transferred off of the fruit, then aged for an additional nine months in oak barrels. After packaging, the beer naturally conditioned for an additional two months prior to release. Altogether, Bière de Syrah is roughly two years old.

Bière de Syrah spent considerably more time aging than most of our other fruited sour beers. This is due to the fact that our Barrel Program Head Adrienne Ballou likes the practice of racking (transferring) beer refermented with wine grapes back into oak barrels for further maturation. Adrienne came to Jester King from the wine world and brought several winemaking techniques with her. According to Adrienne, maturation in oak barrels following fruit refermentation allows the beer to take on more complex characteristics than just bright fruit character and acidity.

The grapes used in the refermentation of Bière de Syrah came from the 2014 harvest in California. We attempt to use native Texas fruit whenever possible, but in this case, we had difficultly sourcing Texas grapes last year. Most of the grapes from the 2014 Texas harvest went to winemakers. Fortunately, we’ve developed some great relationships with wineries in our area, so hopefully this will be the last time we source grapes from California, or anywhere outside of Texas.

Bière de Syrah was brewed with Hill Country well water, barley, wheat, oats, and hops. It was fermented with our mixed culture of brewers yeast and native yeast and bacteria harvested from the Texas Hill Country prior to refermentation with Syrah grapes. It is unfiltered, unpasteurized, and 100% naturally conditioned in bottles, kegs, and casks. Bière de Syrah is 7.3% alcohol by volume, 9 IBU, 3.2 pH at the time of packaging in June 2015, and has a finishing gravity of 1.001 (0.25 degrees Plato).",,Jester King Bi�re de Syrah,14,Sour/Wild Ale,Jester King Brewery,219,9,3.99/5.0,99,33,TEXAS,97,3.88
,"This is the same beer as Divine Reserve No. 5. It was re-released as DR 15 on Jan. 26, 2015.",,Saint Arnold Divine Reserve #15,13,Imperial Stout,Saint Arnold Brewing Company,46,,/,99,315,TEXAS,89,
,"We’re pleased to introduce Jester King Bière de Blanc du Bois — a barrel aged, sour beer refermented with Texas-grown Blanc du Bois grapes. Bière de Blanc du Bois is the creation of Adrienne Ballou, Head of the Barrel Program at Jester King. Adrienne came to us about two years ago, having previously studied viticulture at U.C. Davis and worked in the wine industry in France. During her time at Jester King, she has implemented numerous wine making techniques into our fermentations, including our use of punch downs during our fruit refermentations. Punch downs lead to better flavor and color extraction from the fruit during refermentation and aid in keeping acetic acid development (think vinegar) at bay. Bière de Blanc du Bois is one of the special projects that Adrienne has worked on over the last several months. Here is her description of the inspiration, process, and presentation:",,Jester King Bi�re de Blanc du Bois,12,Sour/Wild Ale,Jester King Brewery,,201,/,99,55,TEXAS,97,
,"We’re pleased to introduce Jester King 分 桃 (pronounced Fēn táo) — a barrel-aged wild beer refermented with peaches from the Texas Hill Country. After slowly fermenting for months in oak barrels with naturally occurring wild yeast and native souring bacteria, 分 桃 was racked to one of our oak tanks or “foudres” filled with several hundred pounds of fresh peaches from Fredericksburg, Texas. We then allowed the beer to slowly referment the peaches to dryness, resulting in a unique beer that reflects our setting in the Texas Hill Country.",,Jester King 分 桃 (Fēn t�o),11,Sour/Wild Ale,Jester King Brewery,,192,/,99,91,TEXAS,97,
,"You don’t have to hitch a ride to N’awlins for some Crescent City flavor. Our friends at Noble Coyote Coffee Roasters age green, Fair-Trade Certified™ Peruvian Cajamarca coffee beans in recently emptied bourbon barrels for months, then roast them to perfection. We slowly infuse the beans into our beer with a touch of chicory. You’ll taste rich coffee, a hint of spice, and Fat Tuesday.",,Lakewood French Quarter Temptress,10,Imperial Stout,Lakewood Brewing Company,56,,/,99,40,TEXAS,90,
,"F.U.N. Series 003. The “regular” bourbon version is a blend of barrels from Heaven Hill Distillery which included:  Evan Williams, Elijah Craig, and Old Fitzgerald.  All of those barrels were then blended for the final product.",,Karbach 003 Bourbon Barrel Hellfighter,9,Imperial Porter,Karbach Brewing (AB InBev),85,,/,99,127,TEXAS,96,
11.6%,,,Community Barrel Aged Legion,8,Imperial Stout,Community Beer Company,348,,/,99,62,TEXAS,90,
12%,"Bishop’s Barrel No. 1 is an Imperial Stout aged in 48 Woodford Reserve bourbon barrels for ten months. The nose is all bourbon and chocolate. The taste starts with a mix of spice with the bourbon and chocolate emerging and lingering through the finish. The light carbonation keeps the beer from becoming cloying, almost giving it a perception of lightness. A pleasant sipping beer, the bourbon is both present but not overpowering as you work your way through the glass. This beer should be served at 55°F or a couple degrees warmer.",,Saint Arnold Bishop's Barrel #1,7,Imperial Stout,Saint Arnold Brewing Company,360,,/,99,56,TEXAS,91,
,Our first brew was a turbid mash of 60% malted barley and 40% raw Texas wheat. We followed the mash schedule found in Jeff Sparrow’s Wild Brews. The first runnings were very starchy. We boiled the wort for four hours with hops aged in burlap bags in the attic of our horse barn.,,Jester King SPON Methode Gueuze,6,Lambic Style - Gueuze,Jester King Brewery,,180,/,99,63,TEXAS,76,
,"2016 SPON Peach & Apricot is a blend of 75% two year old and 25% one year old spontaneously fermented beer, refermented with peaches and apricots.",,Jester King SPON Peach & Apricot,5,Lambic Style - Fruit,Jester King Brewery,,180,4.04/5.0,99,38,TEXAS,92,3.94
,"2016 SPON Raspberry & Cherry is a blend of two year old, 100% spontaneously fermented beer, refermented with raspberries and cherries.",,Jester King SPON Raspberry & Cherry,4,Lambic Style - Fruit,Jester King Brewery,,156,4.09/5.0,99,28,TEXAS,93,3.95
,Barrel-Aged Sour Beer Refermented with Cherries,,Jester King Montmorency vs. Balaton,3,Sour/Wild Ale,Jester King Brewery,,201,/,100,117,TEXAS,99,
5.8%,"Back in February of this year, we added several hundred pounds of raspberries to oak barrels containing mature sour beer. We then allowed the beer to re-ferment to dryness. The result is Atrial Rubicite, our first barrel aged sour beer to incorporate fruit. Atrial Rubicite is made from well water, barley, wheat, hops, farmhouse yeast, native yeast from the Texas Hill Country, souring bacteria, and raspberries. It’s 5.8% alcohol by volume, has a finishing gravity of 1.005 and is 3.36 pH. It is unfiltered, unpasteurized and 100% bottle conditioned. Atrial Rubicite is our first beer to be packaged exclusively in 500 ml bottles.",,Jester King Atrial Rubicite,2,Sour/Wild Ale,Jester King Brewery,174,,/,100,274,TEXAS,100,
,"A lot of time went into making this beer. This isn’t to suggest that very long periods of maturation in oak automatically lead to good beer. Far from it. In fact, some of our favorite beers we’ve made have achieved some really nice characteristics in just a few months. However, we’re really pleased with the way Sherry Barrel Atrial Rubicite turned out and are happy it received all the time it did.

The base beer for Sherry Barrel Atrial Rubicite was brewed in 2013. After maturing in oak barrels for about a year, it was blended during the spring of 2014 and refermented with raspberries. It was then racked to a single 500 liter Spanish sherry barrel for further aging and maturation. In July of 2015, fifteen months later, we racked the beer out of the sherry barrel and bottled it. All together, Sherry Barrel Atrial Rubicite took a little over two years to make. Again, this isn’t to suggest that long periods of fermentation and maturation necessarily equate to enjoyable beer, but in this case, we think it does.

Sherry Barrel Atrial Rubicite was brewed with Hill Country well water, barley, wheat, oats, and hops. It was fermented with our mixed culture of microorganisms consisting of brewers yeast and native yeast and bacteria harvested from the air and wildflowers around our brewery, and refermented with raspberries grown in Washington. Sherry Barrel Atrial Rubicite was pakagd in July of 2015 and is unfiltered, unpasteurized, and 100% naturally conditioned. At the time of bottling, it was 7.0% alcohol by volume, 1.003 specific gravity (0.75 degrees Plato), 7 IBU, and 3.3 pH.

Batch 1 - 330 mL Bottles - Bottle Labeled July 2015",,Jester King Sherry Barrel Atrial Rubicite,1,Sour/Wild Ale,Jester King Brewery,7,,4.34/5.0,100,26,TEXAS,100,4.16
,,,Blackberry Farm Abbey Series - Quad,24,Abt/Quadrupel,Blackberry Farm,,300,3.72/5.0,94,25,TENNESSEE,75,3.62
,Chinook hops.  West Coast style IPA.  This beer is under construction and still being tweaked.  This IPA finishes with a bright hop and a particular sweetness.  Check back for future batches!,,Blackstone Adam Bomb IPA,23,India Pale Ale (IPA),Blackstone Brewing Company,83,,/,94,46,TENNESSEE,92,
,This monster was created with some of the best chocolate and roasted malts to create the perfect blend of stout fullness and minimal fruit esters. This beer will have you trying to decide if you like fullness or the myriad of coffee and chocolate undertones more. It will also have the other stout brewers gathering the torches and storming our door.,,Terminal BrewHouse Southsidenstein Stout,22,Stout,Terminal BrewHouse,,171,/,94,51,TENNESSEE,95,
,,/upload/post.asp?m=1&Id=31487,Boscos HopGod Ale,21,India Pale Ale (IPA),Boscos Brewing Company (Roma Pomodori),,,3.69/5.0,94,38,TENNESSEE,92,3.62
7.5%,Ale aged in red wine barrels.,/upload/post.asp?m=1&Id=515371,Blackberry Farm Barrel Series - Brett Saison 2017,20,Saison,Blackberry Farm,225,,3.77/5.0,94,21,TENNESSEE,92,3.64
7.5%,"Double IPA dry hopped at 4#/bbl, features Simcoe, Citra, Amarillo & Chinook hops and a mischief-inducing resinous taste you won’t soon forget.",,Bearded Iris Red Handed Double IPA,19,Imperial IPA,Bearded Iris Brewing,225,,3.83/5.0,94,14,TENNESSEE,75,3.64
6.3%,Ale aged in Alban Vineyard red wine barrels.,,Blackberry Farm Barrel Series - Alban Farmhouse Red,18,Sour Red/Brown,Blackberry Farm,189,,3.79/5.0,94,18,TENNESSEE,75,3.64
,Oat IPA generously hopped with Mosaic.,,Bearded Iris Homestyle,17,India Pale Ale (IPA),Bearded Iris Brewing,,180,3.73/5.0,95,35,TENNESSEE,94,3.65
8.2%,,,Bearded Iris Double Homestyle,16,Imperial IPA,Bearded Iris Brewing,246,,3.81/5.0,95,17,TENNESSEE,78,3.65
,"Inspired by classic Old World farmhouse ales, balanced by the bright character and nuances of New World hops, this golden dry-hopped saison features Wakatu, Equinox, and Comet hops.",,Blackberry Farm New World Cuvee Dry Hop Saison (2016),15,Saison,Blackberry Farm,45,,/,95,57,TENNESSEE,93,
,"It’s tough to describe the breakdown of it but we basically kept blending it into one of our smaller 10 barrel fermentors that we kept... until we liked how it tasted. But I would guess it’s probably around 30% barrel aged Sue, 65% sour Sue, and we did blend a little fresh Sue in (5%) to round out the aroma.",,Yazoo Fortuitous,14,Sour/Wild Ale,Yazoo Brewing Company,,,/,95,64,TENNESSEE,69,
6.3%,A Farmhouse Ale aged in red wine barrels with local Tennessee peaches and plums.,,Blackberry Farm King of Falling Fruit,13,Fruit Beer,Blackberry Farm,189,,3.76/5.0,95,29,TENNESSEE,99,3.67
6.2%,Sour Red with tart cherries and dark sweet cherries aged in merlot barrels. Copper colored wax seal.,/upload/post.asp?m=1&Id=274108,Yazoo Embrace The Funk Series: Cherry Deux Rouges,12,Sour Red/Brown,Yazoo Brewing Company,186,,3.91/5.0,96,12,TENNESSEE,82,3.67
,"This is inspired by the French Biere de Garde style, but soured...and then ridiculously dry-hopped with Citra and Galaxy hops! Slightly tart up front, the hops create a rich aroma and citrusy & floral finish",/upload/post.asp?m=1&Id=339934,Yazoo Embrace The Funk Series: Citra Luxe,11,Sour/Wild Ale,Yazoo Brewing Company,,162,3.85/5.0,96,15,TENNESSEE,77,3.67
,"First, they came for the mosaic. Then, the simcoe. And finally, the citra. But the path to greatness must be paved with empty cans and crushed dreams, says the new DIPA in town, because now this Chief has it all.",,Bearded Iris Chief of Chiefs ,10,Imperial IPA,Bearded Iris Brewing,,225,3.91/5.0,96,12,TENNESSEE,82,3.67
6.3%,A hop-forward Farmhouse Ale brewed with Hallertau Blanc and Citra hops.,,Blackberry Farm Boundary Tree,9,Saison,Blackberry Farm,189,,/,96,43,TENNESSEE,94,
,"Magical natural process beans from the Konga region of Ethiopia lead the way in this beautiful coffee stout. This rare variety of coffee leads to aromas of sweet roastiness and flavors of blueberry pie. Lactose, or milk sugar, is added along with oats for a silky medium body and a lush finish. Red Bull and vodka done the long way for old men; not teenagers.",,Wiseacre Gotta Get Up to Get Down Coffee Milk Stout,8,Sweet Stout,Wiseacre Brewing,15,,/,96,114,TENNESSEE,96,
5.5%,"A Farmhouse Ale brewed with generous additions of floor-malted wheat for a soft, creamy mouthfeel and hazy straw color, as well as generous additions of Huell Melon hops for subtle notes of strawberry and melon.",,Blackberry Farm Fenceline,7,Saison,Blackberry Farm,165,,/,97,46,TENNESSEE,96,
6.2%,Flemish Sour Red ale aged 13 months in fresh Merlot barrels. Red colored wax seal.,,Yazoo Embrace the Funk Series: Deux Rouges,6,Sour Red/Brown,Yazoo Brewing Company,186,11,/,97,46,TENNESSEE,89,
,"This is a Belgian-style farmhouse ale. The aroma is dominated by fruity esters reminiscent of citrus fruits along with a moderate earthy and floral hop aroma from the use of Noble-type hops in the brewing process. Has a deep gold, hue that is often hazy, and a voluminous head on pouring as a result of the bottle-conditioning and high natural carbonation. The beer is medium-bodied and has a very refreshing effervescence which, along with a fairly low alcohol content, makes this a beer to be enjoyed on a warm day by itself or with a wide range of foods, whether casual or fine dining. Complex flavors and aromas in this beer are a result of the special yeast used in fermentation combined with the additional complexity added by bottle-conditioning in large bottles for at least six weeks before being released.",,Blackberry Farm Classic Saison,5,Saison,Blackberry Farm,,189,/,98,225,TENNESSEE,97,
6%,"Milk stout w/Peanut, Caramel, Vanilla",/upload/post.asp?m=1&Id=475834,Mantra Guru Gish,4,Sweet Stout,Mantra Artisan Ales,180,20,4.03/5.0,98,12,TENNESSEE,98,3.77
9.1%,"The south is famous for smoking everything. Why not beer? Sue is a big, rich, smoky malt bomb of a beer, with mellow smokiness coming from barley malts smoked with cherry wood, and assertive bitterness from Galena and Perle hops to cleanse the finish.",,Yazoo SUE,3,Smoked,Yazoo Brewing Company,273,,/,98,292,TENNESSEE,99,
6.3%,"In keeping with the spirit of Old World farmhouse ales, we have crafted a golden, dry-hopped saison featuring Czech Saaz.",,Blackberry Farm Noble Cuvee Dry Hop Saison (2017),2,Saison,Blackberry Farm,189,,4.12/5.0,99,12,TENNESSEE,98,3.84
10.5%,Taste The Rarity,,Wiseacre Astronaut Status,1,Imperial Stout,Wiseacre Brewing,315,,4.02/5.0,99,21,TENNESSEE,87,3.86
,,/upload/post.asp?m=1&Id=178618,Firehouse Honey Badger,24,Brown Ale,Firehouse Brewing Company (SD),,180,3.2/5.0,,7,SOUTH DAKOTA,,3.1
,"Malted barley roasted at a high temperature provides a 
chocolate note to this medium-bodied brown ale. Cluster
and Willamette hops are used to create this traditional 
British ale.",/upload/post.asp?m=1&Id=20991,Firehouse Strong Arm Porter,23,Porter,Firehouse Brewing Company (SD),,,3.13/5.0,0,6,SOUTH DAKOTA,,3.05
,,/upload/post.asp?m=1&Id=35383,Firehouse Prodigy Porter,22,Porter,Firehouse Brewing Company (SD),,,3.57/5.0,0,6,SOUTH DAKOTA,,3.15
5%,"This is a special autumn multi-grain porter with the addition of wildflower honey. The malted German rye contributes a minty/earthy note not found in any other malted cereal grains. This beer is quite a bit sweeter than a sweet stout and, as a result of the honey addition, is ligher in body.",/upload/post.asp?m=1&Id=80422,Firehouse Honey Rye Porter,21,Porter,Firehouse Brewing Company (SD),150,,3.51/5.0,0,7,SOUTH DAKOTA,,3.37
,"The Firehouse’s lightest ale. Light in body and bitterness, but great on taste. An easy beer to try for those unaccustomed to micro-brews.",/upload/post.asp?m=1&Id=57997,Firehouse Brewers Golden,20,Golden Ale/Blond Ale,Firehouse Brewing Company (SD),,,2.3/5.0,0,5,SOUTH DAKOTA,,2.55
,"A light bodied ale with malty dominated flavor. Very low hop bitterness, flavor, and aroma.",,Crow Peak Canyon Cream Ale,19,Cream Ale,Crow Peak Brewing Company,10,,/,11,59,SOUTH DAKOTA,10,
,"A light crisp, refreshing and drinkable ale featuring the finest Saaz
hops the Czech Republic has to offer.  It is our most popular beer.",/upload/post.asp?m=1&Id=20984,Firehouse Wilderness Wheat,18,Wheat Ale,Firehouse Brewing Company (SD),,108,2.79/5.0,22,23,SOUTH DAKOTA,34,2.81
4.6%,"The key to everything is patience. You get the chicken by hatching the egg, not by smashing it. The Lion’s Paw Lager requires a feat of endurance and resolve as it is fermented and stored for eight weeks before it is ready to see the world. Fresh, crisp, and well-balanced, this Munich-style Lager delivers a clean and elegant finish, one that will make you reflect on why patience is a virtue.",,Fernson Lion's Paw Lager,17,Amber Lager/Vienna,Fernson Brewing Company,138,24,2.94/5.0,30,16,SOUTH DAKOTA,71,2.93
4.5%,"Good things come to those who wait. For Belgian farmers, it was the beer they brewed over the long winter months to produce a refreshing Saison for their seasonal workers to enjoy. Our Farmhouse Ale pays tribute to those innovators, who rewarded their farm hands with up to 5 liters for a day’s work. Light, crisp, and semi-tart, this Farmhouse Ale will please your palate.",,Fernson Farmhouse Ale,16,Saison,Fernson Brewing Company,135,28,2.92/5.0,30,35,SOUTH DAKOTA,5,2.92
4.9%,"Buffalo Bitter is a moderately bitter, copper-colored ale 
which is brewed with crystal malt imported from the 
United Kingdom. Mount Hood hops from Oregon provide
hop aroma.",/upload/post.asp?m=1&Id=20986,Firehouse Buffalo Bitter,15,Premium Bitter/ESB,Firehouse Brewing Company (SD),147,18,3.12/5.0,43,13,SOUTH DAKOTA,48,3.07
,"Hop aroma and flavor dominate this IPA. However, the malt character of this deep amber colored ale nicely balances the hop component thus avoiding a harsh bitterness. A truly quaffable beverage!",,Crow Peak Eleventh Hour IPA,14,India Pale Ale (IPA),Crow Peak Brewing Company,,195,/,44,162,SOUTH DAKOTA,19,
,Crystal malt gives this medium bodied ale its pleasant and refreshing flavor. Cluster and Willamette hops are introduced at various times during the brewing process to provide bitterness and aroma.,,Firehouse IrishRed,13,Irish Ale,Firehouse Brewing Company (SD),,123,3.15/5.0,44,22,SOUTH DAKOTA,62,3.12
,"Hallertauer hops from the Yakima Valley of Washington State
give this English style pale ale its distinctive flavor and hoppiness.  A large amount of malted barley is used in the brewing process which gives Chukkar Ale a full, rich body and a relatively high alcohol content.",,Firehouse Chukkar Ale,12,English Pale Ale,Firehouse Brewing Company (SD),,159,3.14/5.0,44,37,SOUTH DAKOTA,77,3.12
,Righteous hops and cherry aromas tell you this is not your ordinary red ale. A sexy complexion with buttery malts make this exotic brew something to be desired. Nuts and caramel build to form the perfect union of awesomeness in your mouth.,,Sick N Twisted Naughty Redhead Imperial Red Ale,11,American Strong Ale,Sick N Twisted Brewing Company,,240,3.22/5.0,46,9,SOUTH DAKOTA,,3.13
,"Hop aroma and flavor dominate this IPA. However, the malt character of this deep amber colored ale nicely balances the hop component thus avoiding a harsh bitterness. A truly quaffable beverage!",,Crow Peak Bear Butte Brown Ale,10,Brown Ale,Crow Peak Brewing Company,,180,3.22/5.0,47,14,SOUTH DAKOTA,50,3.16
,,,Sick N Twisted Hop On Top IPA,9,Imperial IPA,Sick N Twisted Brewing Company,,300,3.26/5.0,47,10,SOUTH DAKOTA,9,3.17
7%,"The hunter who chases two rabbits catches neither one. Until now. In pursuit of an IPA that doesn’t wear out your palate, we created Fernson IPA with the hop character you expect, balanced by a malty backbone. Smooth and not overly bitter, we are proud to offer an India Pale Ale made in South Dakota. The hunt is over.",,Fernson IPA,8,India Pale Ale (IPA),Fernson Brewing Company,210,70,3.31/5.0,50,17,SOUTH DAKOTA,31,3.24
,,,Crow Peak Mjollnir,7,Spice/Herb/Vegetable,Crow Peak Brewing Company,,198,3.29/5.0,58,14,SOUTH DAKOTA,74,3.21
,This dry stout features a roasty coffee-like bitterness and a clean well balanced palate. A gentle hop bitterness is present. Fantastic with a meal or by itself.,,Firehouse Smoke Jumper Stout,6,Dry Stout,Firehouse Brewing Company (SD),,120,3.34/5.0,62,26,SOUTH DAKOTA,64,3.29
7%,Unholy brewed with vanilla,/upload/post.asp?m=1&Id=405113,Hydra Unholy Vanilla,5,Sweet Stout,Hydra Beer Company,210,30,3.44/5.0,66,12,SOUTH DAKOTA,43,3.32
